id;name;content;points;submission_type;allowed_attempts;start_date;end_date;due_date;published
1;audit rightfully;apud pottery;17936.11;ONLINE;6658;2024-05-21T20:03:58;2024-05-22T02:11:09;2024-05-21T20:33:25;false
2;down;apropos mortally;15453.52;ONLINE;169;2024-05-21T20:46:41;2024-05-22T02:45:14;2024-05-21T07:26:32;true
3;husky heavily forewarn;knowingly yet probate;29057.05;ONLINE;26433;2024-05-21T15:00:15;2024-05-21T06:53:53;2024-05-22T01:23:27;true
4;vigorous;pinto until urgently;11813.52;ONLINE;13350;2024-05-21T21:21:56;2024-05-21T05:38:36;2024-05-21T16:28:15;false
5;ew repeatedly;why;31919.78;ONLINE;79;2024-05-21T06:55:52;2024-05-21T16:26:26;2024-05-22T02:08:26;false
6;embroider doubtfully failing;where;23484.27;PAPER;5291;2024-05-21T16:52:12;2024-05-21T22:15:43;2024-05-21T16:35:48;false
7;impractical prestigious lest;until;16589.74;PAPER;27360;2024-05-21T19:04:07;2024-05-21T07:52:34;2024-05-21T06:38:53;false
8;into omega lest;than beautifully before;1288.84;PAPER;7954;2024-05-21T13:28:33;2024-05-21T06:03:04;2024-05-21T11:15:08;true
9;sprout beside;eek why;14995.3;PAPER;7334;2024-05-21T15:25:48;2024-05-22T03:03:17;2024-05-21T10:30:11;true
10;ha whose;duh emotional;8708.64;ONLINE;20692;2024-05-21T06:30:41;2024-05-21T18:33:53;2024-05-21T16:05:38;false
