id;title;content;date;start_time;end_time;location;address;event_frequency
1;unless for;massacre jockey;2024-05-22T05:08:30;6122;5985;spry;complexity;WEEKLY
2;gossip astride;suburban dent;2024-05-22T00:37:35;8309;27826;since;ack meh;DAILY
3;liquidize imaginative;lychee;2024-05-21T20:12:58;12143;408;accidentally regarding negative;between;NOREPEAT
4;agitated;spill;2024-05-22T04:27:04;6906;11122;paltry mothball um;unfasten;DAILY
5;uh-huh;rehome tart;2024-05-22T02:48:30;13011;16821;repackage;punctual during ha;WEEKLY
6;till under oof;drat;2024-05-22T07:49:34;22976;18839;generally hoarse drat;rocker;DAILY
7;lest bronze;truly;2024-05-21T14:16:12;27142;4448;since inasmuch reformulate;before pneumonia;WEEKLY
8;virtuous;yowza groan wraparound;2024-05-21T13:29:23;7403;22958;basic closely;devastate;WEEKLY
9;cruelly;diction spearhead;2024-05-22T04:19:32;18957;26475;grandmom huzzah;meh philosophize;WEEKLY
10;afore eek;overdue gah sharply;2024-05-21T22:38:17;30770;22399;behind huzzah;fooey maim;DAILY
