id;course_name;course_code;course_image_path;course_start_date;course_end_date;course_format;published;self_enrollment;self_enrollment_code;storage_quota;status
1;yum tomorrow uh-huh;quarterly;militarize yelp;2024-05-20T07:28:04;2024-05-20T10:59:44;born um;true;true;huzzah;29796;true
2;honey;exile;supposing down;2024-05-20T03:44:40;2024-05-20T07:24:58;safeguard likewise;true;false;orphan exacerbate;764;false
3;pleasing budge lung;though;handgun;2024-05-20T12:41:03;2024-05-20T02:27:00;chat;false;false;instinct gosh;29889;false
4;toward since oddly;provided medical;keenly;2024-05-19T18:48:19;2024-05-20T12:41:29;building;true;true;next of;27757;true
5;awkwardly;retest barring;unsteady because;2024-05-20T01:14:23;2024-05-19T17:27:46;healthily;true;false;sans rehome disrespect;10690;true
6;weakly untrue clash;website;unroll clank inside;2024-05-20T10:49:53;2024-05-19T14:44:45;whereas maker now;false;true;aw bump;7656;false
7;glossy;deflect incidentally huzzah;delay daintily;2024-05-20T06:50:27;2024-05-19T17:03:57;reason failing nor;true;false;off;18020;true
8;upward how;partially failing survive;dam;2024-05-20T06:15:02;2024-05-19T16:57:01;yum elliptical;true;false;uh-huh wry;6859;false
9;believe drat;caboose;research oof flamboyant;2024-05-19T20:32:29;2024-05-19T17:50:02;neatly trumpet whose;false;false;needy;28298;true
10;synonym reprocess overdo;than without solemnly;yuck fragrant boo;2024-05-20T02:10:03;2024-05-20T08:01:36;until;true;true;blind though costume;23326;false
