id;enrollment_status;last_activity_at;enrollment_date
1;REJECTED;2024-05-20T04:13:15;2024-05-20T10:17:00
2;ACTIVE;2024-05-20T10:59:47;2024-05-19T22:51:18
3;ACTIVE;2024-05-20T10:25:50;2024-05-20T10:52:35
4;ACTIVE;2024-05-19T20:13:28;2024-05-20T11:09:40
5;PENDING;2024-05-20T10:49:34;2024-05-19T18:42:00
6;PENDING;2024-05-19T22:14:22;2024-05-19T17:04:54
7;PENDING;2024-05-20T01:52:49;2024-05-20T04:14:21
8;REJECTED;2024-05-19T23:08:54;2024-05-20T01:54:24
9;PENDING;2024-05-19T13:16:35;2024-05-19T18:44:24
10;ACTIVE;2024-05-19T18:12:15;2024-05-20T08:48:24
