id;lesson_title;start_plan_date;actual_lesson_date;lesson_type;video_url
1;ah yawningly plus;2024-06-25T22:42:17;2024-06-25T19:22:51;Lecture;furthermore mmm
2;reluctantly ew honestly;2024-06-25T17:58:07;2024-06-25T09:58:22;Lab;whether
3;that so compromise;2024-06-25T12:16:36;2024-06-25T23:40:22;Lecture;angelic besides up
4;aggravating;2024-06-25T11:16:44;2024-06-26T06:59:19;Practice;why
5;until times;2024-06-26T01:11:38;2024-06-26T05:42:47;Lecture;before
6;boo if mysteriously;2024-06-26T06:40:56;2024-06-26T08:57:45;Seminar;decode gee oof
7;happily reappear offend;2024-06-25T19:17:38;2024-06-26T00:25:58;Practice;establish far-flung along
8;of;2024-06-26T03:08:28;2024-06-25T19:25:51;Seminar;drat suddenly
9;how;2024-06-25T13:01:27;2024-06-26T02:10:03;Practice;lest
10;why beneath midst;2024-06-26T01:00:10;2024-06-25T18:25:14;Seminar;lard
