id;start_time;end_time;quiz_session_enum
1;2024-06-20T05:52:33;2024-06-20T00:08:15;FINISHED
2;2024-06-19T23:46:57;2024-06-20T02:42:24;FINISHED
3;2024-06-19T16:05:06;2024-06-19T11:39:14;IN_PROGRESS
4;2024-06-19T21:48:41;2024-06-20T04:34:48;FINISHED
5;2024-06-19T18:12:45;2024-06-19T10:48:10;IN_PROGRESS
6;2024-06-19T12:24:35;2024-06-19T07:22:41;IN_PROGRESS
7;2024-06-19T12:58:14;2024-06-19T09:22:22;IN_PROGRESS
8;2024-06-19T20:07:01;2024-06-19T18:14:50;FINISHED
9;2024-06-19T17:42:30;2024-06-19T17:41:28;FINISHED
10;2024-06-19T19:01:54;2024-06-19T09:36:17;IN_PROGRESS
