id;title;content;who_allowed;add_to_students;add_to_students_date;published_at;published;notify_users_changes
1;quizzical goad;sharply once after;ONLY_TEACHERS;false;2024-05-22T19:31:06;2024-05-22T19:57:46;true;true
2;rehabilitate emergent;well-off yuck;TEACHER_AND_STUDENTS;false;2024-05-22T09:11:36;2024-05-22T11:51:22;true;true
3;including boo because;clearly hm choker;ANYONE;true;2024-05-22T13:18:01;2024-05-22T14:23:14;false;true
4;inasmuch notwithstanding favorite;willfully colon;ANYONE;true;2024-05-22T20:54:57;2024-05-22T19:53:44;true;false
5;sleepily;boiling absentmindedly crossly;ONLY_TEACHERS;false;2024-05-22T13:54:44;2024-05-22T17:42:29;false;false
6;justly lest swiftly;birdcage;TEACHER_AND_STUDENTS;true;2024-05-23T01:17:57;2024-05-22T15:12:18;true;false
7;cupcake lest inferior;nervously dim;ANYONE;false;2024-05-22T10:51:22;2024-05-22T22:31:10;true;true
8;interestingly;against;TEACHER_AND_STUDENTS;false;2024-05-22T20:51:11;2024-05-22T11:41:39;true;true
9;consist;pluralize alien;TEACHER_AND_STUDENTS;false;2024-05-22T23:00:07;2024-05-23T01:51:48;false;false
10;faint amongst;as huzzah gah;ONLY_TEACHERS;false;2024-05-22T11:51:30;2024-05-22T21:44:27;false;false
